seq,el_1,el_2,el_3
1,1,10001,[10001]
2,1,10002,[10002]
3,1,10003,[10003]
4,1,10004,[10004]
5,1,10005,[10005]
6,1,10006,[10006]
7,1,10007,[10007]
8,1,10008,[10008]
9,1,10009,[10009]
10,1,10010,[10010]
11,1,10011,[10011]
12,1,10012,[10012]
13,1,10013,[10013]
14,1,10014,[10014]
15,1,10015,[10015]
16,1,10016,[10016]
17,1,10017,[10017]
18,1,10018,[10018]
19,1,10019,[10019]
20,1,10020,[10020]
21,1,10021,[10021]
22,1,10022,[10022]
23,1,10023,[10023]
24,1,10024,[10024]
25,1,10025,[10025]
26,1,10026,[10026]
27,1,10027,[10027]
28,1,10028,[10028]
29,1,10029,[10029]
30,1,10030,[10030]
31,1,10031,[10031]
32,1,10032,[10032]
33,1,10033,[10033]
34,1,10034,[10034]
35,1,10035,[10035]
36,1,10036,[10036]
37,1,10037,[10037]
38,1,10038,[10038]
39,1,10039,[10039]
40,1,10040,[10040]
41,1,10041,[10041]
42,1,10042,[10042]
43,1,10043,[10043]
44,1,10044,[10044]
45,1,10045,[10045]
46,1,10046,[10046]
47,1,10047,[10047]
48,1,10048,[10048]
49,1,10049,[10049]
50,1,10050,[10050]
51,1,10051,[10051]
52,1,10052,[10052]
53,1,10053,[10053]
54,1,10054,[10054]
55,1,10055,[10055]
56,1,10056,[10056]
57,1,10057,[10057]
58,1,10058,[10058]
59,1,10059,[10059]
60,1,10060,[10060]
61,1,10061,[10061]
62,1,10062,[10062]
63,1,10063,[10063]
64,1,10064,[10064]
65,1,10065,[10065]
66,1,10066,[10066]
67,1,10067,[10067]
68,1,10068,[10068]
69,1,10069,[10069]
70,1,10070,[10070]
71,1,10071,[10071]
72,1,10072,[10072]
73,1,10073,[10073]
74,1,10074,[10074]
75,1,10075,[10075]
76,1,10076,[10076]
77,1,10077,[10077]
78,1,10078,[10078]
79,1,10079,[10079]
80,1,10080,[10080]
81,1,10081,[10081]
82,1,10082,[10082]
83,1,10083,[10083]
84,1,10084,[10084]
85,1,10085,[10085]
86,1,10086,[10086]
87,1,10087,[10087]
88,1,10088,[10088]
89,1,10089,[10089]
90,1,10090,[10090]
91,1,10091,[10091]
92,1,10092,[10092]
93,1,10093,[10093]
94,1,10094,[10094]
95,1,10095,[10095]
96,1,10096,[10096]
97,1,10097,[10097]
98,1,10098,[10098]
99,1,10099,[10099]
100,1,10100,[10100]
101,1,10101,[10101]
102,1,10102,[10102]
103,1,10103,[10103]
104,1,10104,[10104]
105,1,10105,[10105]
106,1,10106,[10106]
107,1,10107,[10107]
108,1,10108,[10108]
109,1,10109,[10109]
110,1,10110,[10110]
111,1,10111,[10111]
112,1,10112,[10112]
113,1,10113,[10113]
114,1,10114,[10114]
115,1,10115,[10115]
116,1,10116,[10116]
117,1,10117,[10117]
118,1,10118,[10118]
119,1,10119,[10119]
120,1,10120,[10120]
121,1,10121,[10121]
122,1,10122,[10122]
123,1,10123,[10123]
124,1,10124,[10124]
125,1,10125,[10125]
126,1,10126,[10126]
127,1,10127,[10127]
128,1,10128,[10128]
129,1,10129,[10129]
130,1,10130,[10130]
131,1,10131,[10131]
132,1,10132,[10132]
133,1,10133,[10133]
