seq,x_total,sign,x_part,memo,sec_t,sec_p,block1,block2,sec_text_t,sec_text_p,sub_sec_t,sub_sec_p
1,7,>=,15,,1.1.1,1.3.1,法,調査,受注件数,地歴調査,1.1.1,1.3.1
2,8,>=,16,,1.1.2,1.3.2,法,調査,受注件数,地歴調査,1.1.2,1.3.2
3,9,>=,17,,1.1.3,1.3.3,法,調査,受注件数,地歴調査,1.1.3,1.3.3
4,10,>=,18,,1.1,1.3,法,調査,受注件数,地歴調査,1.1(計),1.3(計)
5,10,>=,19,,1.1,1.4.1,法,調査,受注件数,汚染の有無,1.1(計),1.4.1
6,10,>=,20,,1.1,1.4.2,法,調査,受注件数,汚染の有無,1.1(計),1.4.2
7,10,>=,21,,1.1,1.4.3,法,調査,受注件数,汚染の有無,1.1(計),1.4.3
8,10,>=,22,,1.1,1.4,法,調査,受注件数,汚染の有無,1.1(計),1.4(計)
9,10,>=,27,,1.1,1.6.1,法,調査,受注件数,区域,1.1(計),1.6.1
10,10,>=,28,,1.1,1.6.2,法,調査,受注件数,区域,1.1(計),1.6.2
11,10,>=,29,,1.1,1.6.3,法,調査,受注件数,区域,1.1(計),1.6.3
12,19,>=,23,,1.4.1,1.5.1,法,調査,汚染の有無,汚染の種類,1.4.1,1.5.1
13,19,>=,24,,1.4.1,1.5.2,法,調査,汚染の有無,汚染の種類,1.4.1,1.5.2
14,19,>=,25,,1.4.1,1.5.3,法,調査,汚染の有無,汚染の種類,1.4.1,1.5.3
102,26,>=,19,汚染ありの内訳合計が少ない場合,1.5,1.4.1,法,調査,汚染の種類,汚染の有無,1.5(計),1.4.1
15,33,>=,37,,2.1,2.3.1,法,対策,受注件数,汚染の種類,2.1(計),2.3.1
16,33,>=,38,,2.1,2.3.2,法,対策,受注件数,汚染の種類,2.1(計),2.3.2
17,33,>=,39,,2.1,2.3.3,法,対策,受注件数,汚染の種類,2.1(計),2.3.3
19,33,>=,41,,2.1,2.4.1,法,対策,受注件数,措置,2.1(計),2.4.1
20,33,>=,42,,2.1,2.4.2,法,対策,受注件数,措置,2.1(計),2.4.2
21,33,>=,43,,2.1,2.4.3,法,対策,受注件数,措置,2.1(計),2.4.3
22,33,>=,44,,2.1,2.4.4,法,対策,受注件数,措置,2.1(計),2.4.4
23,33,>=,45,,2.1,2.4.5,法,対策,受注件数,措置,2.1(計),2.4.5
24,33,>=,46,,2.1,2.4.6,法,対策,受注件数,措置,2.1(計),2.4.6
25,33,>=,47,,2.1,2.4.7,法,対策,受注件数,措置,2.1(計),2.4.7
26,33,>=,48,,2.1,2.4.8,法,対策,受注件数,措置,2.1(計),2.4.8
27,33,>=,49,,2.1,2.4.9,法,対策,受注件数,措置,2.1(計),2.4.9
18,40,>=,33,全件分の内訳を回答しているか,2.3,2.1,法,対策,汚染の種類,受注件数,2.3(計),2.1(計)
28,50,>=,33,全件分の内訳を回答しているか,2.4,2.1,法,対策,措置,受注件数,2.4(計),2.1(計)
29,51,>=,53,,3.1,3.3,条例・要綱,調査,受注件数,地歴調査,3.1,3.3
30,51,>=,54,,3.1,3.4.1,条例・要綱,調査,受注件数,汚染の有無,3.1,3.4.1
31,51,>=,55,,3.1,3.4.2,条例・要綱,調査,受注件数,汚染の有無,3.1,3.4.2
32,51,>=,56,,3.1,3.4.3,条例・要綱,調査,受注件数,汚染の有無,3.1,3.4.3
33,51,>=,57,,3.1,3.4,条例・要綱,調査,受注件数,汚染の有無,3.1,3.4(計)
34,51,>=,66,,3.1,3.6,条例・要綱,調査,受注件数,法十四条申請,3.1,3.6
35,54,>=,58,,3.4.1,3.5.1,条例・要綱,調査,汚染の有無,汚染の種類,3.4.1,3.5.1
36,54,>=,59,,3.4.1,3.5.2,条例・要綱,調査,汚染の有無,汚染の種類,3.4.1,3.5.2
37,54,>=,60,,3.4.1,3.5.3,条例・要綱,調査,汚染の有無,汚染の種類,3.4.1,3.5.3
38,54,>=,61,,3.4.1,3.5.4,条例・要綱,調査,汚染の有無,汚染の種類,3.4.1,3.5.4
39,54,>=,62,,3.4.1,3.5.5,条例・要綱,調査,汚染の有無,汚染の種類,3.4.1,3.5.5
40,54,>=,63,,3.4.1,3.5.6,条例・要綱,調査,汚染の有無,汚染の種類,3.4.1,3.5.6
103,64,>=,54,汚染ありの内訳合計が少ない場合,3.5,3.4.1,条例・要綱,調査,汚染の種類,汚染の有無,3.5(計),3.4.1
41,67,>=,69,,4.1,4.3.1,条例・要綱,対策,受注件数,汚染の種類,4.1,4.3.1
42,67,>=,70,,4.1,4.3.2,条例・要綱,対策,受注件数,汚染の種類,4.1,4.3.2
43,67,>=,71,,4.1,4.3.3,条例・要綱,対策,受注件数,汚染の種類,4.1,4.3.3
44,67,>=,72,,4.1,4.3.4,条例・要綱,対策,受注件数,汚染の種類,4.1,4.3.4
45,67,>=,73,,4.1,4.3.5,条例・要綱,対策,受注件数,汚染の種類,4.1,4.3.5
46,67,>=,74,,4.1,4.3.6,条例・要綱,対策,受注件数,汚染の種類,4.1,4.3.6
48,67,>=,77,,4.1,4.4.1,条例・要綱,対策,受注件数,措置,4.1,4.4.1
49,67,>=,78,,4.1,4.4.2,条例・要綱,対策,受注件数,措置,4.1,4.4.2
50,67,>=,79,,4.1,4.4.3,条例・要綱,対策,受注件数,措置,4.1,4.4.3
51,67,>=,80,,4.1,4.4.4,条例・要綱,対策,受注件数,措置,4.1,4.4.4
52,67,>=,81,,4.1,4.4.5,条例・要綱,対策,受注件数,措置,4.1,4.4.5
53,67,>=,82,,4.1,4.4.6,条例・要綱,対策,受注件数,措置,4.1,4.4.6
54,67,>=,83,,4.1,4.4.7,条例・要綱,対策,受注件数,措置,4.1,4.4.7
55,67,>=,84,,4.1,4.4.8,条例・要綱,対策,受注件数,措置,4.1,4.4.8
56,67,>=,85,,4.1,4.4.9,条例・要綱,対策,受注件数,措置,4.1,4.4.9
47,75,>=,67,全件分の内訳を回答しているか,4.3,4.1,条例・要綱,対策,汚染の種類,受注件数,4.3(計),4.1
57,86,>=,67,全件分の内訳を回答しているか,4.4,4.1,条例・要綱,対策,措置,受注件数,4.4(計),4.1
58,87,>=,89,,5.1,5.3,自主,調査,受注件数,地歴調査,5.1,5.3
59,87,>=,90,,5.1,5.4.1,自主,調査,受注件数,汚染の有無,5.1,5.4.1
60,87,>=,91,,5.1,5.4.2,自主,調査,受注件数,汚染の有無,5.1,5.4.2
61,87,>=,92,,5.1,5.4.3,自主,調査,受注件数,汚染の有無,5.1,5.4.3
62,87,>=,93,,5.1,5.4,自主,調査,受注件数,汚染の有無,5.1,5.4(計)
63,87,>=,102,,5.1,5.6.1,自主,調査,受注件数,契機,5.1,5.6.1
63,87,>=,103,,5.1,5.6.2,自主,調査,受注件数,契機,5.1,5.6.2
64,87,>=,104,,5.1,5.6.3,自主,調査,受注件数,契機,5.1,5.6.3
65,87,>=,105,,5.1,5.6.4,自主,調査,受注件数,契機,5.1,5.6.4
66,87,>=,106,,5.1,5.6.5,自主,調査,受注件数,契機,5.1,5.6.5
67,87,>=,107,,5.1,5.6.6,自主,調査,受注件数,契機,5.1,5.6.6
68,87,>=,108,,5.1,5.6.7,自主,調査,受注件数,契機,5.1,5.6.7
69,87,>=,109,,5.1,5.6.8,自主,調査,受注件数,契機,5.1,5.6.8
71,87,>=,112,,5.1,5.7,自主,調査,受注件数,法十四条申請,5.1,5.7
72,90,>=,94,,5.4.1,5.5.1,自主,調査,汚染の有無,汚染の種類,5.4.1,5.5.1
73,90,>=,95,,5.4.1,5.5.2,自主,調査,汚染の有無,汚染の種類,5.4.1,5.5.2
74,90,>=,96,,5.4.1,5.5.3,自主,調査,汚染の有無,汚染の種類,5.4.1,5.5.3
75,90,>=,97,,5.4.1,5.5.4,自主,調査,汚染の有無,汚染の種類,5.4.1,5.5.4
76,90,>=,98,,5.4.1,5.5.5,自主,調査,汚染の有無,汚染の種類,5.4.1,5.5.5
