id,pref,age,gender,FA
20001,大分県,75,男性,旅行する時の、参考にしています。
20002,東京都,83,男性,旅にでかけるファッション(服装･カバン･小物･･･)の紹介記事を掲載されたし。
20003,愛知県,63,女性,いつもみています。特集をたのしみにしています
20004,群馬県,68,男性,写真もイラストも大きくて見やすい、助かる
20005,静岡県,65,女性,今月号の道東の鉄道旅懐かしかったです。独身の頃北海道が大好きで何度もひとり旅をしました。この路線にも乗りました。旅ができない不自由な今旅行に行った気分でジパング倶楽部読んでます。
20006,群馬県,68,女性,広告が少し減ったような気がしてうれしい
20007,千葉県,61,女性,プレゼント企画を増やしてほしい
20008,神奈川県,68,女性,なし
20009,神奈川県,77,男性,なし
20010,千葉県,67,女性,今月号のクロスワードパズルが適度に難しくて頭の体操になりました。
20011,埼玉県,72,男性,一番良い時期ががジパング?楽部の割引が適用されない時で残念である。
20012,京都府,80,男性,今回の企画はとても良い
20013,東京都,83,女性,今回娘にインターネットから応募を頼みました。回答の形式、レイアウトが見易く入力しやすいと申しておりました。誌面も文字が大きめで読みやすいです。コロナ禍で旅に行けない今、素敵な風景をたくさん載せて下さい
20014,群馬県,62,女性,楽しく旅行に行きたくなる読み物お願いします。
20015,石川県,73,男性,必須でない事項もあるのでは？
20016,群馬県,66,男性,謎解き！古代ふしぎ探訪、面白かったです、群馬県の古墳群の歴史も取り上げて下さい。
20017,神奈川県,61,女性,今回のテーマは面白かった。
20018,宮城県,69,男性,北海道南の観光地を特集してください。
20019,長野県,63,女性,いつも楽しみにしています
20020,愛知県,79,女性,会員手帳は更新していますが、去年も今年も利用する機会がなく残念です。早くJRで旅行できるよう願っています。
20021,京都府,68,男性,ローカル線に関する記事をもっと欲しい。
20022,岡山県,71,男性,最初の健康情報やコロナ感染の最新知識などを記事にして欲しい。
20023,岐阜県,77,男性,プレゼントの当たる確率を高めて下さい。
20024,和歌山県,75,女性,各地方の町並み紹介記事を希望します。
20025,滋賀県,80,男性,金山巨石群は興味をもって読ませていただきました。巨石で天体観測が行われていたとは、古代の人の知恵は凄いと感心しました。私の住む近隣でも巨石は有りますが、おおこあ
20026,和歌山県,80,男性,歴史旅の記事を期待します
20027,愛知県,71,女性,温泉案内を増やしてほしい
20028,静岡県,82,男性,なし。
20029,宮城県,66,女性,コロナ疲れの癒し方特集。
20030,東京都,69,女性,早くコロナが収まり、縄文遺跡群を見て歩きたい
20031,埼玉県,67,男性,楽しい記事を期待します
20032,神奈川県,82,男性,JR線のトンネル及び鉄橋の長さベスト１０特集をお願いします。
20033,静岡県,72,男性,古墳の写真がいい！
20034,埼玉県,78,男性,古代不思議探訪は興味を見って読みました。
20035,茨城県,69,女性,列車で巡る美術館の旅を希望。
20036,神奈川県,77,女性,「謎解き？古代ふしぎ探訪」は楽しく読ませていただきました。
20037,神奈川県,77,女性,「謎解き？古代ふしぎ探訪」は楽しく読ませていただきました。特に「どう違う？縄文・弥生・古墳時代」
20038,東京都,67,女性,北海道・北東北の縄文遺跡群が世界遺産に登録されるので、紹介の記事を載せて頂きたい
20039,神奈川県,77,女性,[
20040,愛知県,68,女性,特にありませんが、もっとグルメや美術館の記事が掲載されるともっと興味がわきます。
20041,愛知県,79,男性,コロナで実旅行が出来ず、誌上旅行が楽しみです
20042,山梨県,70,女性,いつも楽しく為になる記事を楽しみにしています。
20043,東京都,73,男性,旅行に行きたくなります、コロナのおさまるのが待ち遠しいです
20044,大阪府,73,男性,コロナ禍でも安心できる旅特集を希望
20045,千葉県,81,男性,世界遺産をめぐる旅の記事はしばらく継続して欲しい。
20046,静岡県,83,男性,クロスワードパズルは継続願いたし
20047,東京都,67,女性,毎号楽しみにしています。
20048,山梨県,68,女性,ローカル線で楽しむ旅、行きたくなります
20049,神奈川県,79,男性,謎解き?　古代ふしぎ探訪は楽しく読ませて頂き、勉強になりました。
20050,新潟県,70,男性,たまにはプレゼントに当たりたい
20051,愛知県,77,女性,ありません
20052,兵庫県,72,女性,グルメ特集をお願いします
20053,秋田県,74,男性,色々な名所を紹介してください。
20054,神奈川県,74,男性,日帰り小旅行なんか、たくさん知りたいです。
20055,佐賀県,68,男性,新型コロナウイルスの影響で行動が制限されています。せめて紙上で旅行気分が味わえる特集をお願いします。
20056,新潟県,70,男性,古代のミステリアスが興味深かった。
20057,愛知県,68,女性,会員コーナーを楽しみにしています。
20058,神奈川県,70,男性,日本のルーツをたどる「古代ふしぎ探訪」は大変興味深く拝読した。
20059,神奈川県,64,女性,電車でアクセスしやすい、東北の源泉掛け流し温泉の特集を希望します。
20060,茨城県,70,女性,クロスワードは今後も続けてほしい
20061,広島県,77,女性,毎月段々内容が良くなって楽しみに待つ様になりました！これもアンケートとクラブ担当者の努力のお陰です有難うございます！
20062,埼玉県,72,男性,北海道の絶景鉄道旅のような記事を、各地方ごとに掲載して欲しい
20063,神奈川県,81,男性,何時も楽しみにしております。
20064,新潟県,73,女性,切り取って飾っておける風景写真のページをつけて下さい
20065,東京都,68,女性,毎回クロスワードパズルが楽しみです。
20066,岡山県,79,女性,旅の記事毎回楽しみにしてます。
20067,埼玉県,75,男性,フォトスポットの特集が、有れば尚良い
20068,広島県,71,女性,早く安心して旅行に行きたいです
20069,千葉県,78,女性,今号の記事と世界遺産に登録や前号の映画公開などタイムリーな企画を今後も期待します。
20070,兵庫県,67,女性,記事を読むと旅をしたみたいな楽しい気持ちになります
20071,神奈川県,76,男性,新緑深い自然　の案内を希望します。
20072,神奈川県,71,男性,"""そ”の近くの観光スポットの情報も欲しい"
20073,神奈川県,69,男性,景色に一体化した鉄道写真が載っているといな
20074,埼玉県,71,男性,いつも興味をそそる記事をありがとうございます
20075,山口県,65,女性,何度も読み返して楽しませていただいております。
20076,山形県,66,女性,伊豆サポートの記事を載せて下さい
20077,兵庫県,68,男性,いつもお風呂に浸かりながら見ています。
20078,広島県,71,女性,行ってみたいと思っても、今コロナウイルスにて行かれませんので、本誌にて行ったきになっています。これからもよろしくお願いします。
20079,長野県,68,女性,いつもありがとうございます
20080,東京都,80,男性,近場(勝浦辺り)も紹介して欲しい
20081,福島県,77,女性,毎月楽しみに拝読しています「
20082,京都府,67,女性,特に無し。
20083,京都府,73,男性,トンネルに関する記事
20084,群馬県,73,男性,エリア特集、エリア間の関連情報があると、なお、特集の意味
20085,神奈川県,74,男性,今月号は全部面白かった
20086,岩手県,73,女性,いつも楽しく見ております
20087,山口県,69,男性,記事のバランスが全国的に配分されていて各地の情報があって自由に動ける時が来ればありがたい情報になると思います。
20088,滋賀県,77,女性,コロナ禍、電車を使って旅がしにくい1年半ですね。ここでEnterタッチで送信されてしまいました一度も利用できなかった事の対応頂けると嬉しいです!!
20089,茨城県,63,女性,歴史が好きなので、関連する記事の掲載が多くて楽しいです。
20090,神奈川県,71,女性,今のままでいいです。
20091,新潟県,69,女性,ワクチン接種が済んでいないので、県外は出れないので、家にいながら楽しめる記事や企画をお願いしたい。
20092,滋賀県,77,女性,コロナ禍、電車を使って旅がしにくい1年半ですね。
20093,神奈川県,71,男性,今のままでいいです。
20094,千葉県,74,女性,楽しく拝読しました。
20095,愛知県,72,女性,色々なところの見所
20096,東京都,74,男性,記事の文章で、読みにくい文字のフリガナが少ない。一度出た文字でも、読みにくい文字は何度でもフリガナをふってもらいたい。特に今回のような北海道の地名などは必要です。
20097,東京都,74,男性,記事の文章で、読みにくい文字のフリガナ
20098,東京都,78,女性,沖縄の新しい魅力の特集をお願いします
20099,宮城県,71,男性,特になし
20100,宮城県,62,女性,きれいな写真で楽しく拝見しています。
20101,広島県,69,男性,よく取材され、見やすく編集されています。
20102,奈良県,62,女性,itrumotranosiku
20103,愛知県,70,男性,いつも楽しく読んでいます
20104,静岡県,71,女性,豊富な内容で楽しみです
20105,東京都,83,男性,毎号楽しく読んでいます。
20106,愛知県,68,女性,最近古墳についてのTV番組もあり興味がありました。ありがとうございますよ
20107,群馬県,71,男性,何でも良いから当たって欲しい。
20108,千葉県,71,女性,今は出かけることは出来ないですが、行ったつもりで、旅の記事を読み、行けるよいになったら、と楽しみが増えています。
20109,神奈川県,71,女性,旅の自由がほしい！　初夏の情報を！
20110,福島県,60,女性,宮城、福島、東北を取り上げて欲しいです。
20111,青森県,63,女性,外出自粛中なので記事で旅気分を味わえます
20112,兵庫県,62,女性,ｺﾛﾅの中で公共交通機関を使用する事がなくなり、この本が楽しみの一つになっている。この本にある旅が早く実現できるよう、計画を立てようと思っています。
20113,兵庫県,70,男性,いつも楽しく読ませて戴いています。
20114,静岡県,82,無回答,いつも楽しみにしています
20115,岡山県,71,女性,毎回、本誌の色々な記事により鉄道の進化、歴史を極めるのに脳トレになります。
20116,熊本県,69,女性,コロナ禍でも紙面上で旅気分を感じることができ、楽しみに拝見しています。
20117,宮城県,68,男性,絶景鉄道旅の連載をお願い致します。
20118,兵庫県,65,女性,毎回、記事を楽しみにしています。
20119,宮城県,72,男性,毎月楽しみに拝読しています。
20120,新潟県,88,男性,JRバス利用の記事を多くしてください
20121,静岡県,73,男性,季節ごとのお祭り情報を掲載してください。
20122,愛知県,67,男性,いつも楽しく読んでいます。これからも興味ある記事をお願いします。
20123,埼玉県,67,女性,毎回興味のある記事が多い。自然の美しいところをこれからも載せて下さい。
20124,群馬県,62,女性,早く気兼ねなく旅がしたいですね。
20125,群馬県,67,男性,早く気兼ねなく旅がしたいですね。
20126,兵庫県,74,女性,状況が落ち着いたら、たくさん利用したいです
20127,山口県,69,女性,歴史と絡めた旅行楽しそうです
20128,愛知県,72,女性,縄文時代記事、とても良かった。
20129,大阪府,71,男性,特になし
20130,香川県,69,男性,私の出身地の「有岡古墳群」が全国向けの記事になるとは、全く期待も予想もしたことが無かったので、驚きでした。
20131,兵庫県,72,女性,今後とも全国各地の隠れた面白い記事を紹介してください
20132,新潟県,66,男性,個人旅行者の経験談を載せてほしい。
20133,東京都,69,男性,毎号楽しみにしています。
20134,東京都,69,男性,毎号楽しみにしています。
20135,千葉県,80,男性,テーマごとに対象をもう少し絞って対象ごとの説明を掘り下げてはいかがでしょうか
20136,大阪府,68,男性,プレゼントの当選者を増やして欲しい。
20137,岡山県,69,男性,文字配置も大きさもよく、読みやすいです
20138,東京都,69,男性,コロナ禍利用できないので残念
20139,東京都,63,女性,コロナで旅行に行かれませんが、会報を楽しく拝見しております。ありがとうございます。
20140,兵庫県,74,女性,コロナ終息を心待ちに拝読させて頂きました。
20141,千葉県,77,女性,毎月楽しみに待っています。
20142,埼玉県,70,男性,単なる旅行案内でなく、歴史的紹介が気に入りました。
20143,千葉県,71,男性,全体のページ数も含め、毎月読みやすい内容でいいと思います。
20144,埼玉県,73,男性,会員コーナーをもっと数を増やしてください。生の声は参考になります。
20145,神奈川県,66,男性,いつも楽しみに拝読してます。
20146,東京都,83,男性,今月号のような古代史の旅はうれしい。
20147,東京都,65,女性,季節感のある旅プラン特集を多めにして欲しい
20148,群馬県,60,女性,駅から散歩できる歴史探訪コースを載せてほしい。
20149,愛知県,76,女性,最近は出かけていないので、雑誌を読み出かけたくなりました。
20150,愛知県,67,女性,質問で興味がなかった記事は？？は必要がないと思います。
20151,群馬県,65,女性,低山特集
20152,茨城県,74,男性,毎月、楽しみです！
20153,神奈川県,88,男性,今月号は良かったが記事とバックの色をよく考えて作ってほしい。時に字が読めないようなページがでてくる。
20154,長野県,62,女性,掲載されている写真が行ってみたいと思う素敵な写真です。
20155,長野県,87,男性,美術館や博物館特集をみたいです
20156,静岡県,78,男性,ジパング?楽部通信毎号は不要
20157,神奈川県,72,男性,旅先の飲食店についての情報を充実してほしい。
20158,岩手県,67,女性,「北海道・北東北縄文遺跡群」がイコモスから世界遺産登録の勧告のタイミングで特集があり、興味深く読みました。ページ数の制約から、記事が遺跡群の一部に止まっていますので、第二弾の特集を希望します。
